,arrivetime,leavetime,longitude,latitude,country,region
152,2019-11-26 01:48:38.623,2019-11-26 01:49:38.751,19.7708530426025,41.3206176757812,alb,11
153,2019-11-26 01:48:38.717,2019-11-26 01:49:40.490,19.4841011177596,41.3101195770047,alb,11
154,2019-11-26 01:48:38.805,2019-11-26 01:51:29.652,19.8116949926957,41.3256188617792,alb,11
155,2019-11-26 01:48:38.821,2019-11-26 01:49:46.683,19.7794867,41.3210415,alb,11
156,2019-11-26 01:48:38.846,2019-11-26 01:50:25.234,19.7742737,41.3343258,alb,11
157,2019-11-26 01:48:38.850,2019-11-26 01:51:07.050,19.8324712,41.3383034,alb,11
158,2019-11-26 01:48:38.902,2019-11-26 01:49:41.178,19.4740752954307,41.3148091361026,alb,11
159,2019-11-26 01:48:39.071,2019-11-26 01:49:39.519,19.7739183349914,41.3199875275818,alb,11
160,2019-11-26 01:48:39.079,2019-11-26 01:49:39.404,19.8426782,41.3433498,alb,11
161,2019-11-26 01:48:39.102,2019-11-26 01:49:59.388,19.7999458870275,41.3344067085784,alb,11
162,2019-11-26 01:48:39.113,2019-11-26 01:50:14.227,19.80948638916,41.32230758667,alb,11
163,2019-11-26 01:48:39.268,2019-11-26 01:50:13.041,19.832096099854,41.318977355957,alb,11
164,2019-11-26 01:48:39.381,2019-11-26 01:50:15.151,19.8368397256166,41.3471572729179,alb,11
165,2019-11-26 01:48:39.401,2019-11-26 01:49:41.754,19.7858238220215,41.3342056274414,alb,11
166,2019-11-26 01:48:39.470,2019-11-26 01:50:09.293,19.448513031006,41.325634002686,alb,11
167,2019-11-26 01:48:39.553,2019-11-26 01:49:39.678,19.8191742,41.3351556,alb,11
168,2019-11-26 01:48:39.758,2019-11-26 01:50:07.195,19.8074875,41.3401346,alb,11
169,2019-11-26 01:48:39.821,2019-11-26 01:49:39.947,19.8364677429199,41.3020439147949,alb,11
170,2019-11-26 01:48:39.850,2019-11-26 01:49:39.944,19.445306777954,41.31799697876,alb,11
171,2019-11-26 01:48:39.889,2019-11-26 01:49:40.283,19.8026789,41.3268211,alb,11
172,2019-11-26 01:48:40.098,2019-11-26 01:52:04.106,19.631254196167,41.389835357666,alb,11
173,2019-11-26 01:48:40.236,2019-11-26 01:49:40.655,19.808435440063,41.332973480225,alb,11
174,2019-11-26 01:48:40.390,2019-11-26 01:50:11.229,19.817454886415,41.3254359532944,bih,bih
