,id,source,arrivetime,leavetime,ismobile,ismobilesite,totalpageviews,country,region,city,ip_latitude,ip_longitude,geo_latitude,geo_longitude
153,34962526,web,2019-11-26 02:51:33.317,2019-11-26 02:51:35.735,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
154,34962474,web,2019-11-26 02:51:33.700,2019-11-26 02:51:45.889,False,False,1.0,irl,d,dublin,53.3448,-6.2593,,
155,34962480,app,2019-11-26 02:51:33.898,2019-11-26 02:52:34.024,True,False,2.0,alb,11,tirana,41.3311,19.8318,26.5907885,93.739286
156,34962475,web,2019-11-26 02:51:34.394,2019-11-26 02:51:46.263,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
157,34962537,web,2019-11-26 02:51:34.671,2019-11-26 02:51:36.526,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
158,34962485,web,2019-11-26 02:51:35.376,2019-11-26 02:51:36.259,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
159,34962496,app,2019-11-26 02:51:37.292,2019-11-26 02:52:37.682,True,False,2.0,alb,11,tirana,41.3311,19.8318,38.0393033002066,23.7484042120268
160,34962497,app,2019-11-26 02:51:37.956,2019-11-26 02:53:07.292,True,False,4.0,alb,11,tirana,41.3311,19.8318,,
161,34962501,web,2019-11-26 02:51:38.721,2019-11-26 02:51:42.010,True,False,2.0,ita,mi,milan,45.47271,9.18716,,
162,34962503,web,2019-11-26 02:51:38.880,2019-11-26 02:51:42.137,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
163,34962565,web,2019-11-26 02:51:39.610,2019-11-26 02:52:11.896,True,False,2.0,alb,11,tirana,41.3311,19.8318,,
164,34962513,app,2019-11-26 02:51:40.504,2019-11-26 02:53:52.578,True,False,7.0,alb,11,tirana,41.3311,19.8318,41.31884765625,19.7921390533447
165,34962515,app,2019-11-26 02:51:40.885,2019-11-26 02:53:05.911,True,False,3.0,alb,11,tirana,41.3311,19.8318,38.0490443391811,23.8312102413481
166,34962567,web,2019-11-26 02:51:41.447,2019-11-26 02:52:22.183,False,False,1.0,can,bc,port coquitlam,49.28043,-122.7444,,
167,34962577,web,2019-11-26 02:51:44.149,2019-11-26 02:51:51.299,True,False,1.0,usa,wa,langley,48.0338,-122.44857,,
168,34962535,app,2019-11-26 02:51:44.798,2019-11-26 02:52:57.764,True,False,4.0,usa,wa,langley,48.0338,-122.44857,38.12162399292,23.832979202271
169,34962546,app,2019-11-26 02:51:45.389,2019-11-26 02:52:58.795,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.3186833,19.8008976
170,34962545,app,2019-11-26 02:51:45.392,2019-11-26 02:52:45.514,True,False,2.0,alb,11,tirana,41.3311,19.8318,,
171,34962531,web,2019-11-26 02:51:45.447,2019-11-26 02:51:55.080,True,False,1.0,usa,wa,langley,48.0338,-122.44857,,
172,34962551,app,2019-11-26 02:51:46.546,2019-11-26 02:52:46.851,True,False,3.0,ita,mi,milan,45.47271,9.18716,42.6678796,13.702248
173,34962539,web,2019-11-26 02:51:46.612,2019-11-26 02:51:47.643,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
175,34962560,app,2019-11-26 02:51:48.935,2019-11-26 02:53:08.383,True,False,4.0,alb,11,tirana,41.3311,19.8318,41.336219787598,19.830177307129
176,34962562,web,2019-11-26 02:51:50.300,2019-11-26 02:52:02.405,False,False,1.0,can,bc,vancouver,49.28921,-123.0338,,
177,34962604,web,2019-11-26 02:51:51.060,2019-11-26 02:51:57.632,False,False,1.0,irl,d,dublin,53.3448,-6.2593,,
178,34962610,web,2019-11-26 02:51:51.653,2019-11-26 02:52:16.656,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
180,34962570,app,2019-11-26 02:51:53.161,2019-11-26 02:52:53.947,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.3278917,19.4507249
181,34962631,web,2019-11-26 02:51:56.909,2019-11-26 02:51:57.369,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
182,34962584,app,2019-11-26 02:51:57.134,2019-11-26 02:52:57.131,True,False,2.0,alb,11,tirana,41.3311,19.8318,,
183,34962585,app,2019-11-26 02:51:57.912,2019-11-26 02:52:58.431,True,False,2.0,alb,11,tirana,41.3311,19.8318,34.14663095,-117.89569432
184,34962635,web,2019-11-26 02:51:58.284,2019-11-26 02:52:03.143,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
185,34962643,web,2019-11-26 02:52:00.339,2019-11-26 02:53:04.102,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
186,34962605,app,2019-11-26 02:52:00.492,2019-11-26 02:53:00.821,True,False,3.0,alb,11,tirana,41.3311,19.8318,42.36990448,13.33885334
187,34962606,app,2019-11-26 02:52:01.251,2019-11-26 02:53:01.430,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.303588867188,19.814796447754
